Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182	2219	325	3.9634146341463414	82	64182
2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193	2220	-109	-9.909090909090908	11	64193
2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250	2221	249	4.368421052631579	57	64250
2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264	2222	-11	-0.7857142857142857	14	64264
2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321	2223	249	4.368421052631579	57	64321
2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327	2224	-104	-17.333333333333332	6	64327
2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357	2225	74	2.466666666666667	30	64357
2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409	2226	153	2.9423076923076925	52	64409
2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467	2227	147	2.5344827586206895	58	64467
2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519	2228	52	1.0	52	64519
2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537	2229	86	4.777777777777778	18	64537
2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564	2230	-24	-0.8888888888888888	27	64564
2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566	2231	-100	-50.0	2	64566
2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589	2232	-20	-0.8695652173913043	23	64589
2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676	2233	421	4.839080459770115	87	64676
2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723	2234	57	1.2127659574468086	47	64723
2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766	2235	61	1.4186046511627908	43	64766
2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792	2236	179	6.884615384615385	26	64792
2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851	2237	45	0.7627118644067796	59	64851
2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862	2238	-109	-9.909090909090908	11	64862
2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866	2239	-102	-25.5	4	64866
2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897	2240	73	2.3548387096774195	31	64897
2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987	2241	216	2.4	90	64987
2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058	2242	336	4.732394366197183	71	65058
2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060	2243	-100	-50.0	2	65060
2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139	2244	328	4.151898734177215	79	65139
2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149	2245	-7	-0.7	10	65149
2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198	2246	358	7.3061224489795915	49	65198
2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207	2247	-107	-11.88888888888889	9	65207
2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226	2248	-16	-0.8421052631578947	19	65226
2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269	2249	-40	-0.9302325581395349	43	65269
2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321	2250	254	4.884615384615385	52	65321
2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447	2251	483	3.8333333333333335	126	65447
2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480	2252	273	8.272727272727273	33	65480
2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572	2253	113	1.2282608695652173	92	65572
2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574	2254	-100	-50.0	2	65574
2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646	2255	234	3.25	72	65646
2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701	2256	251	4.5636363636363635	55	65701
2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739	2257	66	1.736842105263158	38	65739
2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766	2258	-125	-4.62962962962963	27	65766
2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793	2259	77	2.8518518518518516	27	65793
2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829	2260	68	1.8888888888888888	36	65829
2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852	2261	81	3.5217391304347827	23	65852
2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892	2262	64	1.6	40	65892
2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016	2263	586	4.725806451612903	124	66016
2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083	2264	138	2.0597014925373136	67	66083
2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085	2265	-100	-50.0	2	66085
2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098	2266	-10	-0.7692307692307693	13	66098
2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182	2267	222	2.642857142857143	84	66182
